audio_id,audio_path,pipeline,reference_transcript,asr_transcript,expected_form_type,predicted_form_type,form_type_correct,expected_amount,predicted_amount,amount_correct,expected_currency,predicted_currency,currency_correct,expected_description,predicted_description,description_correct,description_match_method,description_overlap,field_accuracy,joint_system_accuracy,asr_latency_seconds,llm_latency_seconds,latency_seconds,error
1,D:\I5 internship\Prototype\data\test_audio\1.wav,wav2vec2,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,ខ្ញុំចង់ run cash advance ចំនួន 500 dណlarn សម្រាប់ to tang porot និង reapចង់ clat vialso k,Cash Advance Form,Cash Advance,1,,500,0,USD,USD,1,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,Request for a cash advance of 500 dollars for Tang Porot and Reap.,0,manual_review,0.18181818181818182,0.5,0,1.1393891000188887,2.96345730003668,4.102846400055569,
1,D:\I5 internship\Prototype\data\test_audio\1.wav,whisper-small,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,ខ្ញុំចង់ run cash advance ចំនួន 500 dollars សម្រាប់ និងែវើ និង cloud workshop,Cash Advance Form,Cash Advance,1,,500,0,USD,dollars,1,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,cloud workshop,0,manual_review,0.18181818181818182,0.5,0,4.51025990000926,2.708286600012798,7.218546500022057,
1,D:\I5 internship\Prototype\data\test_audio\1.wav,whisper-medium,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,ខ្ញុំចង់ run cash advance ចំនួន 500 dollars សម្រាប់ និង rip ចាក cloud workshop,Cash Advance Form,Cash Advance Form,1,,500,0,USD,dollars,1,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,cloud workshop,0,manual_review,0.18181818181818182,0.5,0,12.2956180999754,2.6410395999555476,14.936657699930947,
2,D:\I5 internship\Prototype\data\test_audio\2.wav,wav2vec2,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,ជួយ request cespanse ចំនួន 10porn dollart សម្រាប់ kak 20 កាង កាវិt0 exចol cael euvan e,Cash Advance Form,Expense Claim Form,0,,10000,0,USD,dollar,1,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,"Request for expense claim of 10,000 dollars.",0,manual_review,0.1,0.25,0,1.2530606999644078,1.7952114999643527,3.0482721999287605,
2,D:\I5 internship\Prototype\data\test_audio\2.wav,whisper-small,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,ខ្ញុំត្រូវការអនុម័ត ការបញ្ជូនឯកសារ សម្រាប់ customer event,Cash Advance Form,Training Request Form,0,,,1,USD,,0,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,customer event,0,manual_review,0.2,0.25,0,4.928131399967242,1.5624894000357017,6.490620800002944,
2,D:\I5 internship\Prototype\data\test_audio\2.wav,whisper-medium,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,ខ្ញុំពេញ cash advance ចំនួន 100 dollars សម្រាប់ និង Agile customer event,Cash Advance Form,Cash Advance,1,,100,0,USD,dollars,1,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,Agile customer event,0,manual_review,0.2,0.5,0,11.057862300018314,2.409395900031086,13.4672582000494,
3,D:\I5 internship\Prototype\data\test_audio\3.wav,wav2vec2,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,ខ្ញុំចង់ ស metexpense claim ចំនុន sែ 0 dollarរ សម្រាប់ tais ទៅ castimer aufuigst ើម b0 ជួយ fig sinest val eustoro,Expense Claim Form,Expense Claim Form,1,,0,0,USD,USD,1,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,customer August,0,manual_review,0.06666666666666667,0.5,0,0.919317499967292,1.720564499963075,2.639881999930367,
3,D:\I5 internship\Prototype\data\test_audio\3.wav,whisper-small,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,ខ្ញុំចង់ expense claim ចំនួន 60 dollars សម្រាប់ customer office និង់ fix network issue,Expense Claim Form,Expense Claim Form,1,,60,0,USD,dollars,1,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,fix network issue,0,manual_review,0.2,0.5,0,3.9305644999840297,1.9142983999918215,5.844862899975851,
3,D:\I5 internship\Prototype\data\test_audio\3.wav,whisper-medium,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,ខ្ញុំចង់ submit expense claim ចំនួន 40 dollars និង customer office ដែល្រាប់ fix network issue,Expense Claim Form,Expense Claim Form,1,,40,0,USD,dollars,1,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,fix network issue,0,manual_review,0.2,0.5,0,11.18899059999967,2.9466702999779955,14.135660899977665,
4,D:\I5 internship\Prototype\data\test_audio\4.wav,wav2vec2,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,ខ្ញiំសុំ claim expene ចំនួន 100 dollarរ សម្រា់ fligសាng និង cakking pil ទៅ sot sivel នៅ us tones si យ,Expense Claim Form,Expense Claim Form,1,,100,0,USD,dollars,1,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,"Request for an expense claim of 100 dollars for flight and checking during travel to Salt Lake City, United States.",0,manual_review,0.14285714285714285,0.5,0,0.829789100040216,2.3527010999969207,3.1824902000371367,
