audio_id,reference_transcript,expected_form_type,predicted_form_type,form_type_correct,expected_amount,predicted_amount,amount_correct,expected_currency,predicted_currency,currency_correct,expected_description,predicted_description,description_correct,description_match_method,description_overlap,field_accuracy,joint_accuracy,latency_seconds,error
1,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,Cash Advance Form,Cash Advance Form,1,,500,0,USD,dollars,1,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,booth decoration and organizing a cloud workshop,0,manual_review,0.2727272727272727,0.5,0,3.0925265999976546,
2,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,Cash Advance Form,Cash Advance,1,,1000,0,USD,USD,1,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,Booking venue for Azure customer event,0,manual_review,0.3,0.5,0,1.698209099995438,
3,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,Expense Claim Form,Expense Claim Form,1,,40,0,USD,USD,1,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,fix network issue,0,manual_review,0.2,0.5,0,2.0024875999661162,
4,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,Expense Claim Form,Expense Claim Form,1,,100,0,USD,USD,1,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,fuel and parking,0,manual_review,0.07142857142857142,0.5,0,2.2789087000419386,
5,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,Expense Claim Form,Expense Claim Form,1,,300,0,USD,USD,1,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,Accommodation during project support,0,manual_review,0.2,0.5,0,2.127468599996064,
6,ជួយ process expense claim ចំនួន មួយពាន់ដុល្លារ សម្រាប់ទិញ SSD បន្ទាន់ ដើម្បីជំនួសក្នុង customer server,Expense Claim Form,Expense Claim Form,1,,1000,0,USD,USD,1,ជួយ process expense claim ចំនួន មួយពាន់ដុល្លារ សម្រាប់ទិញ SSD បន្ទាន់ ដើម្បីជំនួសក្នុង customer server,Urgent replacement in customer server,0,manual_review,0.16666666666666666,0.5,0,2.0984284000005573,
7,ខ្ញុំចង់ request project expense ចំនួន ប្រាំរយដុល្លារ សម្រាប់ទិញ switch និងខ្សែ network ក្នុង project customer,Project Expense Form,Project Expense Form,1,,500,0,USD,USD,1,ខ្ញុំចង់ request project expense ចំនួន ប្រាំរយដុល្លារ សម្រាប់ទិញ switch និងខ្សែ network ក្នុង project customer,Customer project,0,manual_review,0.16666666666666666,0.5,0,2.523054699995555,
8,ខ្ញុំសូម submit project expense ចំនួន មួយពាន់ប្រាំរយដុល្លារ សម្រាប់រៀបចំ firewall នៅ customer branch,Project Expense Form,Project Expense Form,1,,1500,0,USD,USD,1,ខ្ញុំសូម submit project expense ចំនួន មួយពាន់ប្រាំរយដុល្លារ សម្រាប់រៀបចំ firewall នៅ customer branch,Setting up a firewall,0,manual_review,0.09090909090909091,0.5,0,2.2491577999899164,
9,ខ្ញុំចង់ request project expense ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ backup storage ឱ្យ customer disaster recovery project,Project Expense Form,Project Expense Form,1,,2000,0,USD,USD,1,ខ្ញុំចង់ request project expense ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ backup storage ឱ្យ customer disaster recovery project,Purchase backup storage,0,manual_review,0.15384615384615385,0.5,0,1.9612128000007942,
10,ជួយ run project expense ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ cloud migration package ឱ្យ finance customer,Project Expense Form,Project Expense Form,1,,5000,0,USD,USD,1,ជួយ run project expense ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ cloud migration package ឱ្យ finance customer,Cloud migration package,0,manual_review,0.23076923076923078,0.5,0,1.7913692999863997,
